make,model,year,body_type,color,mileage_km,price,fuel_type,condition_id
Chevrolet,Impala,2011,Convertible,Black,64322,5000,Petrol,1
Chevrolet,Malibu,2023,Pickup,Black,178091,16952,Diesel,1
Hyundai,Tucson,2015,Hatchback,Blue,101449,5000,Petrol,1
Honda,CR-V,2014,Crossover,White,7968,14948,Petrol,1
Nissan,Frontier,2014,Sports,Gray,107095,11385,Petrol,3
Ford,Fusion,2019,Pickup,Red,94393,14849,Diesel,3
Nissan,Rogue,2018,Hatchback,Gray,187266,12731,Petrol,2
Toyota,RAV4,2010,Convertible,Blue,33802,7101,Petrol,3
Nissan,Sentra,2014,Pickup,Gray,79633,13151,Diesel,2
Hyundai,Elantra,2017,SUV,Gray,154774,9938,Petrol,2
Tesla,Model X,2020,SUV,Silver,182912,47139,Electric,1
Chevrolet,Impala,2020,Sedan,White,104661,17213,Petrol,3
BMW,X3,2019,Pickup,Silver,53626,32053,Petrol,1
Honda,CR-V,2018,Sedan,Silver,30062,10597,Diesel,2
Ford,F-150,2020,Sports,Blue,109260,22161,Petrol,3
Tesla,Model 3,2014,Convertible,Black,80673,40145,Electric,3
Tesla,Model S,2020,SUV,Silver,151412,42579,Electric,1
Ford,Fusion,2024,Convertible,White,65861,25770,Diesel,1
Tesla,Model Y,2019,Pickup,Gray,154355,42857,Electric,3
Hyundai,Santa Fe,2020,SUV,Gray,123912,11630,Diesel,2
BMW,3 Series,2019,Coupe,Silver,130246,29711,Diesel,2
Nissan,Frontier,2014,SUV,Black,122537,11784,Petrol,2
BMW,5 Series,2016,Sports,White,179969,25777,Diesel,3
Nissan,Rogue,2020,Sports,Silver,160294,15554,Diesel,2
Nissan,Altima,2019,Sports,Blue,43894,16217,Diesel,1
Honda,Civic,2018,SUV,Gray,28609,13757,Diesel,1
Ford,Escape,2018,Van,Red,64875,21675,Petrol,3
Chevrolet,Silverado,2016,Sports,Silver,137947,13328,Petrol,2
Honda,Civic,2014,Sports,Black,20658,7044,Petrol,1
Chevrolet,Silverado,2023,Convertible,Silver,85705,16285,Petrol,2
Tesla,Model Y,2020,Van,Red,154460,49184,Electric,1
Nissan,Frontier,2016,Hatchback,White,192104,12918,Petrol,1
Hyundai,Santa Fe,2012,Convertible,Red,64711,9415,Diesel,3
Toyota,Corolla,2021,Convertible,Gray,184298,17352,Diesel,2
Chevrolet,Malibu,2012,Sedan,Red,74784,5000,Diesel,2
Toyota,Highlander,2016,Sedan,White,130739,14152,Petrol,1
Honda,Civic,2015,Hatchback,Gray,168909,16719,Diesel,1
Hyundai,Santa Fe,2018,Pickup,Gray,123453,10165,Petrol,1
Honda,Accord,2010,Crossover,White,14098,11378,Petrol,2
Chevrolet,Silverado,2014,Crossover,Blue,32237,10810,Petrol,1
Ford,Escape,2019,Van,Gray,179622,22383,Petrol,2
Chevrolet,Equinox,2019,Van,Gray,100238,20646,Diesel,1
Toyota,Camry,2023,Convertible,Red,40099,20189,Diesel,1
Ford,Escape,2018,Pickup,White,145637,19319,Diesel,2
Tesla,Model 3,2017,Sports,Black,100666,42754,Electric,2
BMW,3 Series,2015,SUV,Red,140841,27570,Diesel,1
BMW,X5,2019,Sports,Red,114407,30543,Diesel,1
Honda,Accord,2023,Convertible,White,157846,19878,Diesel,2
Ford,Escape,2017,Hatchback,Gray,122810,14415,Diesel,2
Nissan,Frontier,2016,Crossover,Red,171297,13042,Petrol,1
BMW,5 Series,2023,Van,Blue,144879,39405,Petrol,1
Nissan,Rogue,2023,Crossover,Silver,169663,17810,Petrol,2
BMW,3 Series,2023,Crossover,Blue,38913,38141,Diesel,3
BMW,X3,2024,Coupe,Red,47980,37347,Diesel,1
Hyundai,Tucson,2010,Convertible,White,124588,5000,Petrol,3
Tesla,Model Y,2023,Sports,Black,117752,49868,Electric,1
Ford,Escape,2014,Hatchback,Blue,29904,10942,Petrol,2
Nissan,Altima,2014,Hatchback,Red,9553,6976,Petrol,2
Ford,Escape,2024,Coupe,White,162880,24255,Petrol,1
Chevrolet,Malibu,2014,Crossover,Silver,71909,10527,Petrol,1
Chevrolet,Malibu,2020,Coupe,Blue,34245,17560,Petrol,3
Hyundai,Santa Fe,2014,Convertible,Silver,47352,12540,Petrol,3
Tesla,Model S,2024,Sports,Red,134224,48635,Electric,1
Tesla,Model Y,2011,Sedan,Blue,142975,32520,Electric,2
Chevrolet,Impala,2023,Sports,Black,116056,19927,Diesel,3
Toyota,RAV4,2015,Crossover,Red,68874,8695,Petrol,2
Ford,Focus,2014,Pickup,Red,31002,11451,Petrol,2
Hyundai,Elantra,2016,Convertible,White,143011,9260,Petrol,3
BMW,X5,2019,Crossover,Black,92797,34489,Diesel,3
Toyota,Camry,2017,Crossover,Black,189847,13933,Diesel,3
Tesla,Model S,2010,Crossover,Black,134789,40319,Electric,2
BMW,X5,2015,Coupe,Blue,57257,35410,Petrol,3
Toyota,Corolla,2012,Coupe,Red,175547,9768,Diesel,2
Ford,Focus,2020,Coupe,Silver,58515,18931,Petrol,3
Tesla,Model S,2016,Sedan,Black,103256,39789,Electric,1
Tesla,Model X,2013,Van,Silver,110780,35731,Electric,2
Honda,Pilot,2015,Coupe,Red,57590,12134,Petrol,2
Ford,Escape,2023,Sedan,Blue,44303,24631,Diesel,2
Ford,Focus,2016,Crossover,Silver,94525,12832,Diesel,2
Nissan,Altima,2013,Crossover,Blue,42161,5000,Diesel,1
Honda,CR-V,2024,Hatchback,Silver,187713,17059,Diesel,1
Hyundai,Tucson,2012,SUV,Silver,199690,5299,Diesel,3
Toyota,RAV4,2012,Coupe,Red,8504,5824,Petrol,1
Chevrolet,Impala,2022,Sports,Red,38058,19104,Petrol,3
Chevrolet,Malibu,2022,Crossover,Black,145845,18514,Petrol,2
Ford,Escape,2017,Hatchback,Blue,195473,17332,Petrol,1
Chevrolet,Impala,2018,SUV,Silver,132468,13310,Petrol,3
Chevrolet,Impala,2021,Coupe,Blue,84680,17103,Diesel,1
Honda,Accord,2024,Convertible,Blue,199043,21335,Petrol,2
Nissan,Rogue,2016,Coupe,Black,33914,9177,Diesel,1
Toyota,Highlander,2012,Convertible,Black,136787,7587,Diesel,3
BMW,X5,2010,Hatchback,White,187899,29476,Diesel,2
Honda,CR-V,2016,Coupe,Silver,188717,7201,Petrol,3
Honda,Accord,2020,Sedan,Red,66793,14657,Petrol,3
Toyota,Highlander,2019,SUV,Black,65578,12608,Petrol,3
Ford,Escape,2012,Convertible,Blue,38528,8699,Petrol,2
Toyota,Corolla,2011,Hatchback,White,151943,5000,Petrol,3
Honda,Accord,2013,Pickup,Blue,163340,7625,Petrol,1
Tesla,Model Y,2011,Coupe,Silver,12156,31790,Electric,3
Toyota,RAV4,2014,Sports,Blue,53959,7351,Petrol,2
